조건,base_zp,base_post,base_gain,base_mse,base_bias,nat_zp,nat_post,nat_gain,nat_mse,nat_bias
A fixed,0.84,0.855,0.0151,0.0998,0.0062,0.8703,0.8541,-0.0163,0.4162,0.5026
B tied,0.8399598393574299,0.8204252909072187,-0.019534548450211187,0.21478553662718192,-0.2703524960405016,0.8703151735461799,0.838895049061391,-0.031420124484788925,0.1382223570723362,0.1560363798651799
C bounded,0.8162676346411286,0.8030867057975491,-0.013180928843579465,0.25634710428017204,-0.26914455874966914,0.8889092248183157,0.8811686580944954,-0.007740566723820286,0.10279161460968438,0.07584129757054672
D free,0.7968643805993203,0.7710225517454433,-0.02584182885387698,0.25265216745466,-0.19172561981656633,0.8881581704428594,0.8599084538904483,-0.02824971655241104,0.14730722431954188,0.1581369520742004
E c=0.5,0.8162676346411286,0.7914684378539799,-0.024799196787148703,0.4191938525760641,-0.49429229254682416,0.889116354212048,0.8419459647052356,-0.047170389506812405,0.1069165943523892,-0.03003244878930253
F c=2,0.8679358459478942,0.8657939450108125,-0.0021419009370816644,0.1442996419327227,0.14636088463787056,0.8105474882819873,0.8130357039400595,0.0024882156580722237,0.7737797874998811,0.7816223133800454
G LQ c=0.5,0.8399598393574299,0.8550200803212853,0.015060240963855387,0.09940730252774715,0.007654855363776747,0.8703151735461799,0.8576736786052147,-0.012641494940965226,0.41664390451784084,0.5035973538571491
H LQ c=0.75,0.8399598393574299,0.8506693440428382,0.010709504685408322,0.09976490794208817,0.006584415085469253,0.8703151735461799,0.8535979408830405,-0.016717232663139403,0.4165213392967395,0.5031056953498018
I LQ c 학습,0.8399598393574299,0.8550200803212853,0.015060240963855387,0.09933196303710594,0.008014059814683505,0.8703151735461799,0.8585232543351733,-0.01179191921100664,0.41665903514021196,0.5036896289372703
J b만 학습,0.8399598393574299,0.8234708063021317,-0.016489033055298252,0.2218293968185284,-0.2729773504885197,0.8703151735461799,0.8391347677668612,-0.031180405779318687,0.14292038105697225,0.1494871273613881
